REGNO,CGPA,GRADE,faculty,Department
20061073993,3.78,SECOND CLASS UPPER,School of Engineering and Engineering Technology (SEET),Petroleum Engineering
20081178641,3.9,SECOND CLASS UPPER,School of Health Technology (SOHT),Optometry
20121149876,4.46,SECOND CLASS UPPER,School of Information and Communication Technology (SICT),Computer Science
20191013116,4.28,SECOND CLASS UPPER,School of Engineering and Engineering Technology (SEET),Electrical and Electronics Engineering
20131077238,1.51,PASS,School of Information and Communication Technology (SICT),Computer Science
20041028040,2.15,PASS,School of Biological Science (SOBS),Microbiology
20201127249,1.54,PASS,School of Engineering and Engineering Technology (SEET),Chemical Engineering
20161172545,3.57,SECOND CLASS UPPER,School of Physical Science (SOPS),Geology
20031008113,4.65,FIRST CLASS,School of Biological Science (SOBS),Microbiology
20081153462,4.3,SECOND CLASS UPPER,School of Information and Communication Technology (SICT),Cyber Security
20071029736,4.89,FIRST CLASS,School of Electrical Systems Engineering Technology (SESET),School of Electrical Systems Engineering Technology (SESET)
20101101730,3.66,SECOND CLASS UPPER,School of Agriculture And Agricultural Technology (SAAT),Crop Science and Technology
20031012668,4.66,FIRST CLASS,School of Agriculture And Agricultural Technology (SAAT),Fisheries and Aquaculture Technology
20061018350,3.43,SECOND CLASS LOWER,School of Information and Communication Technology (SICT),Software Engineering
20091198977,2.75,SECOND CLASS LOWER,School of Biological Science (SOBS),Forensic Science
20051181157,4.1,SECOND CLASS UPPER,School of Information and Communication Technology (SICT),Information Technology
20141150197,3.09,SECOND CLASS LOWER,School of Environmental Science (SOES),Quantity Surveying
20201049373,4.3,SECOND CLASS UPPER,School of Basic Medical Science (SBMS),School of Basic Medical Science
20201134458,1.76,PASS,School of Basic Medical Science (SBMS),School of Basic Medical Science
20031186307,1.58,PASS,School of Management Technology (SMAT),Project Management Technology
20141083283,2.85,SECOND CLASS LOWER,School of Health Technology (SOHT),Environmental Health Science
20011135488,2.18,PASS,School of Agriculture And Agricultural Technology (SAAT),Crop Science and Technology
20071060747,1.71,PASS,School of Information and Communication Technology (SICT),Cyber Security
20111003152,2.39,PASS,School of Health Technology (SOHT),Public Health Technology
20111086882,4.42,SECOND CLASS UPPER,School of Basic Medical Science (SBMS),School of Basic Medical Science
20031025550,4.87,FIRST CLASS,School of Biological Science (SOBS),Biotechnology
20211166236,4.44,SECOND CLASS UPPER,School of Health Technology (SOHT),Environmental Health Science
20201021628,3.12,SECOND CLASS LOWER,School of Basic Medical Science (SBMS),School of Basic Medical Science
20151021526,4.78,FIRST CLASS,School of Basic Medical Science (SBMS),School of Basic Medical Science
20191143565,4.18,SECOND CLASS UPPER,School of Environmental Science (SOES),Surveying and Geoinformatics
20031117250,4.16,SECOND CLASS UPPER,School of Physical Science (SOPS),Geology
20151051834,2.03,PASS,School of Biological Science (SOBS),Microbiology
20141142912,4.71,FIRST CLASS,School of Basic Medical Science (SBMS),School of Basic Medical Science
20141125616,4.24,SECOND CLASS UPPER,School of Environmental Science (SOES),Architecture
20141176406,1.53,PASS,School of Information and Communication Technology (SICT),Cyber Security
20031053603,4,SECOND CLASS UPPER,School of Agriculture And Agricultural Technology (SAAT),Fisheries and Aquaculture Technology
20061017892,4.26,SECOND CLASS UPPER,School of Biological Science (SOBS),Forensic Science
20061108734,1.7,PASS,School of Agriculture And Agricultural Technology (SAAT),Agricultural Extension
19701036035,4.6,FIRST CLASS ,School of Agriculture And Agricultural Technology (SAAT),Agricultural Extension
19801036037,3.7,SECOND CLASS UPPER,School of Agriculture And Agricultural Technology (SAAT),Agricultural Extension
